电影名,score,类型,上映时间,时长,tagline,简介
蜘蛛侠：纵横宇宙,83.0,动画/动作/冒险/科幻,2023-06-01,140,每个人都说这是蜘蛛侠注定的命运，但我要找到属于自己的路。,荣获奥斯卡奖的蜘蛛侠平行宇宙传奇迎来全新篇章。在这段史诗级冒险中，布鲁克林的全职邻家英雄蜘蛛侠迈尔斯·莫拉莱斯将穿越多元宇宙，与格温·史黛西及全新蜘蛛侠团队集结成军，直面前所未见的强大反派。[索尼影业]
头脑特工队2,75.0,动画/冒险/喜剧/家庭,2024-06-13,96,为新的情感腾出空间。,小女孩莱莉刚步入青春期，在她的大脑总部，正经历着一场突如其来的大拆迁，为意想不到的新情绪腾出空间。一直以来配合默契的情绪小伙伴乐乐、忧忧、怒怒、怕怕和厌厌，在新情绪焦焦的突然到来时变得不知所措，并且她看起来不是孤身一人。
The Next 365 Days,64.0,爱情/剧情,2022-08-19,116,简介,第三部讲述罗拉和马西莫的恋情岌岌可危，他们必须努力克服信任问题，难缠的纳乔也力图拆散俩人。
法国小野猫,45.0,喜剧,1972-03-09,94,The sweetest French Pastry since Pussy Galore!,罗尔夫（迈克尔·克罗默饰）是一位性咨询专栏作家，也是一位色鬼，与许多女性有过婚外情，但从未有过永久的关系。苏珊娜，他的前情人之一，提出打赌没有女人能让罗尔夫求婚，她的女友安德里亚（西比尔·丹宁饰）急切地接受了这一打赌。但有一个陷阱：为了赢得赌注，安德里亚必须让风流成性的罗尔夫承诺结婚，而不必先和他上床。
Nawab Cafe,70.0,剧情,2026-03-12,131,简介,A family grapples with communication barriers as a father and son circle around conversations they desperately need but cannot bring themselves to have.
之后,71.0,剧情/爱情,2019-04-12,106,在你第一次之后，生活将永远不会一样。,泰莎 是一位向来循规蹈矩的女生，在父母眼里，她是听话乖巧的好女儿，在男友眼里，她是体贴懂事的好女友，在老师眼里，她是守规矩讲礼貌的好学生，这样一个女孩，在她踏进大学校园后，邂逅了名为哈丁 的男孩。 哈丁和泰莎所见过的所有男生都不一样，他有着桀骜不驯的眼神，花哨夸张的外表，做事情也向来不拘一格。泰莎对哈丁的第一印象并不好，但随着时间的推移，他身上某些独特的气质渐渐的吸引了泰莎，她开始渴望成为像他一样自由的人。在阴差阳错之中，泰莎和哈丁接吻了，之后哈丁飘忽不定的态度反而让泰莎对他更加的沉迷。
哈利·波特与密室,77.0,冒险/奇幻,2002-11-16,161,某种邪恶再度回到霍格沃兹,哈利·波特结束了假期，即将回到霍格沃兹继续学习魔法。然而一个叫多比的家养小精灵出现警告哈利不要回到霍格沃兹，否则会陷入极大的危险。哈利没有听从多比的劝告，回到了霍格沃兹。很快，霍格沃兹发生了一连窜怪事：接二连三出现学生被石化，一直找不出原因。而哈利总能听到一种奇怪的声音，从墙壁里传出来。传说，霍格沃兹有一个密室，里面记录着伏地魔年轻时的秘密，只有斯莱特林的继承人才能打开密室。哈利偶然发现自己能听懂蛇说话，一时传闻是哈利打开了密室。难道多比所指的危险就隐藏在密室？
是你的错,71.0,剧情/爱情,2024-12-27,120,Divided by family. Driven by love.,全球热播电影《我的过错》续篇。尽管诺亚和尼克的父母试图拆散他们，但他们的关系似乎毫不动摇。然而他的工作和她的大学入学却给他们原本的生活带来了新的人际关系，眼看就要动摇他们的感情和莱斯特家族的根基。面对这么多蓄意破坏的人，这段感情真的能迎来圆满的结局吗？
鬼上车,61.0,恐怖/惊悚,2026-05-28,94,"130 million people take road trips every year. 15,400 of them are never seen again.",一对年轻情侣目睹了一场血肉横飞的高速公路惨剧后，原以为只是路上的惊魂插曲，却未曾想到，一个名为“凶灵”的恶魔早已悄然潜入他们的房车。当这个不散的恶灵开始步步紧逼，誓要将两人拖入地狱深渊时，原本浪漫的房车旅行彻底沦为一场挣脱不得的梦魇之旅。
阿甘正传,85.0,喜剧/剧情/爱情,2013-04-29,142,人生就像一盒巧克力，你永远不知道下一块会是什么味道,透过被命运眷顾的单纯者阿甘的双眼，全景式展现了美国历史上动荡的三十年。
星球大战4：新希望,82.0,冒险/动作/科幻,1997-05-29,121,很久很久以前，在遥远的银河系……,很久以前，在一个遥远的银河系……莱娅公主被邪恶的帝国势力挟为人质，企图镇压反抗银河帝国的起义军。卢克·天行者与汉·索罗船长携手可爱的机器人搭档R2-D2和C-3PO，共同踏上拯救美丽公主、恢复银河系正义的征程。[20世纪福克斯]
蜘蛛侠：英雄归来,73.0,动作/冒险/科幻,2017-07-06,133,势不可挡,彼得·帕克（汤姆·赫兰德 Tom Holland 饰）在内战后受到了钢铁侠托尼·斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰）的赏识，表面上，彼得进入托尼的公司成为了一名实习生，实际上，他和复仇者联盟的成员们一起接受了各种各样的训练。托尼虽然欣赏彼得的勇敢和正直，却并不认为他目前已经拥有加入复联的实力，他派出了特工哈皮（乔恩·费儒 Jon Favreau 饰）暗中观察，这让十分想证明自己的彼得感到万分焦躁。在对付两个银行劫匪的过程中，彼得发现劫匪们使用的是一种前所未见的新型武器，他孤身一人深入敌后顺藤摸瓜找到了幕后主使秃鹰（迈克尔·基顿 Michael Keaton 饰），让他彼得没有想到的是，秃鹰竟然是他爱慕的女生利兹（劳拉·海瑞尔 Laura Harrier 饰）的父亲。
银河特急 Milky☆Subway 各站停车前往剧场,89.0,动画/动作/冒险/喜剧/科幻,2026-02-06,46,简介,因违反银河道路交通法而被捕的超人类千春与改造人真希奈，与被警方逮捕的超人类朱音和铁多、改造人柯特和麦克斯，一同进行社会劳动，负责清扫行驶于行星间之间的列车「Milky☆Subway」。原本应该很容易就能完成任务，但列车却突然暴冲，让大家陷入混乱。人类假释官两子为了解决问题也拼命奋战，后来他们一同被卷入出乎意料的重大事件……
餐车情缘：偷心弹跳猪,58.0,喜剧/爱情,2025-08-28,105,Love is on the menu but every recipe has its secrets.,"When a child sneaks onto their food truck looking for his father, three friends go on a wild road trip, running into police, monks — and a famous hippo."
指环王2：双塔奇兵,84.0,冒险/奇幻/动作,2002-12-18,235,一股新力量正在崛起！,在J.R.R.托尔金史诗三部曲的第二篇章中，护戒同盟队面对难以想象的敌军与诡谲阴谋，同时见证了远古奇迹与同胞未觉醒的力量。
狮子王,83.0,动画/家庭/剧情,1994-08-10,89,最伟大的冒险，莫过于在生命的轮回中找到属于自己的位置。,辛巴是荣耀王国的小王子，他的父亲穆法沙是一个威严的国王。然而叔叔刀疤却对穆法沙的王位觊觎已久。要想坐上王位，刀疤必须除去小王子。于是刀疤利用种种借口让辛巴外出，然后伺机大开杀戒，无奈辛巴被穆法沙及时来救。在反复的算计下，穆法沙惨死在刀疤手下。刀疤一方面别有用心地劝辛巴离开，一方面派人将他赶尽杀绝。辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们抚养辛巴长成雄壮的大狮子，鼓励他回去森林复国。在接下来一场复国救民的斗争中，辛巴真正长成一个坚强的男子汉，领会了责任的真谛。
某种物质,71.0,恐怖/科幻/惊悚,2024-09-26,141,如果按照说明去做，会出什么问题？,曾经红极一时的好莱坞巨星伊丽莎白无法面对自己老去的容颜，决定使用一种名为“完美物质”的黑市药物，透过注射药物的细胞复制物质，创造出更年轻、更好的另一个自己。“年华老去”及“年轻貌美”的自己该如何共存？会是更强烈的容貌焦虑大战？还是要不断迎合大众对“美”的期待？一场自我身体主导权的争夺战即将上演……
蜘蛛侠,73.0,动作/科幻,2002-05-03,121,能力越大 责任越大,彼得·帕克只是美国一个平凡的高中生，当他被蜘蛛博物馆偷跑出来的变种蜘蛛咬了一口之后，彼得的生活彻底改变了。他变得和蜘蛛一样，拥有各种蜘蛛特有的超能力：从手指喷出粘力极强的蜘蛛丝、飞檐走壁等等。彼得兴奋异常，开始利用自己的超能力去赚钱。但当他最爱的叔叔被自己放走的罪犯杀死后，彼得发誓要用自己的超能力去打击犯罪。彼得好友哈利的父亲诺曼是一家生物科技公司的老板，因自己公司生产的飞行器没得到军方首脑赏识而苦恼不堪。一次意外诺曼吸入神经毒气而具有了超能力，引发了自身邪恶的本性，骑着自己研发的飞行器去到处破坏、杀人。彼得化身的蜘蛛侠开始出击了！
替补悍警,65.0,动作/犯罪/惊悚,2026-04-17,90,Small town. Big secret.,故事发生在一个名为“诺莫”的偏远小镇，这里看似风平浪静，实则暗流涌动。尤利西斯在上一任警长离奇意外身亡后，被委任为临时警长。当镇上的银行被一对来自外地的夫妇抢劫时，尤利西斯赶到现场，却发现这座小镇平静的表象下隐藏着更为险恶的深层秘密——从酒保到神父，镇上的每个人都是秘密的参与者。而一直试图逃避过去心魔的尤利西斯，此刻必须揭开这场犯罪阴谋的全部真相。
现在就想要,0.0,爱情,2016-04-20,58,简介,"A man who protects the island and his woman, Soo-hee, live on a remote island that is nothing more than an uninhabited island. And Bok-soon, who lost her mind after being abandoned by the man she loved. This is an island where only three people live, even if they die. Then one day, a photographer who seems to be holding something secret comes to the island. However, the man who guards the island misunderstands the visitor and kills him because of it. Bok-soon, who loved the dead photographer, commits suicide upon seeing the photographer's death. A man who has gone mad after killing someone hears a story from Soo-hee, who lives with him, and only later finds out all the secrets..."
咒术回战 涩谷事变×死灭回游 剧场版,60.0,动画/动作/奇幻,2025-12-04,88,诅咒的混乱，涩谷，以及更远的地方——,万圣节狂欢的人群中，涩谷繁华街区骤然降下「帐」，无数普通民众被困其中。最强咒术师五条悟踏入危机四伏的战场，却遭遇咒术师与咒灵方为封印他布下的重重陷阱。虎杖悠仁与同学及特级咒术师们相继突入，咒术与咒灵前所未有的大决战——涩谷事变全面爆发。事件余波中，全日本被羂索布下十处「咒术结界」，致命的「死灭回游」就此开启。特级咒术师乙骨忧太更接到处决「罪人」虎杖的密令。本作为涩谷事变总集篇，并收录死灭回游篇前两集内容。
岳母爱上女婿 4,40.0,爱情,2023-12-26,71,简介,俊妍和素贤在俊妍的公公再婚后与俊妍年轻漂亮的婆婆同居了一段时间。有一天，由于素贤和公公突然出差，俊妍独自和婆婆留在家里。婆婆在一个炎热的夜晚勾引了英俊的女婿。俊妍无法忘记与婆婆的性爱，甚至计划与妻子和婆婆进行三人行。
新狂蟒之灾,59.0,冒险/喜剧,2025-12-25,98,致命翻拍，殊死重启!,为了翻拍影史经典《狂蟒之灾》，格里夫（保罗·路德 饰）和道格（杰克·布莱克 饰）成立史上最穷剧组！在唯一一条演员蛇因伤下线后，他们决定深入亚马逊雨林捉蛇补位，却意外遇上真巨蟒，原本滑稽混乱的片场瞬间沦为致命险境。在蛇口之下四处逃窜的他们，最终是会全员殒命还是顺利杀青？
蛊镇,59.0,科幻/恐怖/冒险,2025-09-27,107,Let them in.,一年前，俄亥俄州阿什兰的夜行小镇爆发了一场食肉、改变思维的蠕虫瘟疫，该镇已经接受了寄生虫的统治。在约书亚市长这样的邪教统治下，热心的牧场主通过说服或武力传播福音。三名未感染的女性通过清理、极端卫生和逃避来维持生存。但每个人最终都会崩溃，释放出背叛、亵渎和身体恐怖。
海洋奇缘2,70.0,冒险/动画/喜剧/家庭/奇幻,2024-11-28,100,The ocean is calling them back.,在祖灵突如其来的呼唤之下，莫阿娜（奥丽伊·卡瓦洛 Auli'i Cravalho 配音）、毛伊（道恩·强森 Dwayne Johnson 配音）和新船员们将启程航向大洋洲的彼端，一路深入危险未知的海域，面对一场前所未见的新冒险。
呼啸山庄,67.0,爱情/剧情,2026-02-12,136,痴爱成魔,故事以十八世纪英格兰北部的约克郡荒原为背景，围绕恩萧家族和林顿家族之间紧张而又具有破坏性的关系，讲述恩萧先生收养的孤儿希斯克利夫和恩萧先生的女儿凯瑟琳之间充满激情和悲剧的爱情故事。
我唾弃你的坟墓,65.0,惊悚/犯罪/恐怖,2010-10-08,108,The Revenge of Jennifer Hills.,该片讲述了一个漂亮的年轻女作家珍妮为了开始她的第一部长篇小说，来到一个河边小镇寻找灵感。送外卖的马修很快对这个美丽又聪慧的女孩流露出爱慕之心，他把这个秘密告诉了他的三个在加油站工作的朋友。这三个年轻的男子早就对性感的珍妮虎视眈眈，在几次试探之后，他们和马修一起截住了小船上身穿比基尼的珍妮，对她进行了轮奸。在遭受了粗暴的凌辱之后，珍妮放弃了投案，而是按照自己的意志和方法，将四个男人一个个杀死。
电锯人剧场版：蕾塞篇,84.0,动画/动作/爱情/奇幻,2025-09-25,100,活出你的人生本色……并让它精彩纷呈。,故事延续TV动画的最终章，讲述男主角电次在偶然邂逅的神秘少女蕾塞的庇护下，在快节奏的战斗中，奔向难以预测的命运。  电次，一个少年，与“电锯恶魔”签订契约，化身“电锯人”，成为隶属于公安部魔物对策特别课四课的魔物猎人，与魔物战斗。正兴奋地等待着与心仪的女性、公安部上司玛奇玛约会，却遭遇突如其来的暴雨，不得不在雨中避雨。在避雨的过程中，他邂逅了名为蕾塞的少女。在附近咖啡馆工作的蕾塞对电次露出了和善的笑容，两人迅速成为了好朋友。这次邂逅标志着电次的日常生活发生了重大改变。
Krishnavataram Part 1: The Heart (Hridayam),88.0,冒险/爱情/剧情,2026-05-07,149,简介,"An epic devotional narrative that reimagines the journey of Lord Krishna, tracing his path from Dwarka to Kurukshetra after parting ways with Radha. As his journey unfolds, it explores his connection with people, his layered personality, and the lessons he imparts about love and life."
我的世界大电影,63.0,家庭/奇幻/喜剧/冒险,2025-04-03,101,创造无界 快乐有方,影片讲述四个“异类”——盖瑞特·“拾荒人”·加里森（杰森·莫玛 饰）、亨利（塞巴斯蒂安·尤金·汉森 饰）、娜塔莉（艾玛·迈尔斯 饰）和道恩（丹妮尔·布鲁克斯 饰）——正为生活中的琐事苦恼时，突然被拉入一个神秘的传送门，进入了“主世界”：一个依赖想象力的奇异方块乐园。为了回到现实世界，他们不仅要掌握这个世界的规则，还要在不速之客——资深工匠史蒂夫（杰克·布莱克 饰）的帮助下，迈上一场魔幻探险之旅。探险之旅充满挑战，五人必须要勇敢面对，发掘各自独特的创造力。创造力，正是他们重返现实世界的关键技能。
新蝙蝠侠,77.0,犯罪/悬疑/惊悚,2022-03-03,176,谜雾暗涌危机四伏 哥谭侠影重磅出击,布鲁斯·韦恩（罗伯特·帕丁森 饰）化身蝙蝠侠于哥谭市行侠仗义两年后，罪犯皆闻风丧胆，他也因此深入接触到哥谭市的阴暗面。他潜行于哥谭市腐败的政要名流关系网中，身边仅有的几个值得信赖的盟友——管家阿尔弗雷德·潘尼沃斯（安迪·瑟金斯 饰）与詹姆斯·戈登警长（杰弗里·怀特 饰）。这位独行的“义警侠探”在哥谭市民心中已成为“复仇”二字最当仁不让的代名词。
堕落的偶像歌手,47.0,剧情,1987-05-13,69,简介,A story of girls afflicted with idol syndrome who will do anything to get a job in the industry and the men who take advantage of them. They are more than willing to sacrifice their bodies to make that stage debut.
迈克尔·杰克逊：寻访梦幻岛,66.0,剧情/电视电影,2017-05-29,102,简介,该部《迈克·杰克逊：找寻梦幻岛》改编自2014年出版的传记《铭记时间：在迈克·杰克逊生命的最后阶段保护他》（Remember the Time: Protecting Michael Jackson in His Final Days），此本传记由迈克·杰克逊的保镖创作。  影片聚焦迈克尔·杰克逊生命的最后一年，这也是杰克逊人生中最灰暗的阶段。在这一年里，杰克逊不得不一边躲避着不依不饶的狗仔队，一边在庄园中照顾他的孩子。  该片由戴安妮·休斯顿（Dianne Houston）执导，苏珊· 迪·帕斯（Suzanne de Passe）担任制片人，据了解，二人也将携手出席影片首映礼。影片中的主角由着名的MJ模仿者Navi担任。
人偶之家,75.0,恐怖/悬疑,2025-06-13,110,It Wants to Play.,故事主角是失去五岁女儿芽衣的铃木佳惠（长泽雅美）和丈夫忠彦（濑户康史）。沉浸在悲伤中的佳惠，在古董市场找到一个与芽衣非常相似的可爱洋娃娃，并开始呵护它，逐渐恢复了活力。但是，佳惠和忠彦有了新的女儿真衣之后，两人就不再关注这个洋娃娃了。渐渐地，五岁大的真衣开始和洋娃娃玩耍，这个家庭接二连三地发生奇怪的事情。佳惠他们试图摆脱这个洋娃娃，但无论扔掉还是供奉，这个洋娃娃却莫名其妙地回来了！洋娃娃隐藏的秘密是什么？以及即将揭开的震撼真相是什么——！
沙丘,78.0,科幻/冒险,2021-09-16,156,预见命运 主宰未来,电影《沙丘》为观众呈现了一段神秘而感人至深的英雄之旅。天赋异禀的少年保罗·厄崔迪（提莫西·查拉梅 饰）被命运指引，为了保卫自己的家族和人民，决心前往浩瀚宇宙间最危险的星球，开启一场惊心动魄的冒险。与此同时，各路势力为了抢夺这颗星球上一种能够释放人类最大潜力的珍贵资源而纷纷加入战场。最终，唯有那些能够战胜内心恐惧的人才能生存下去。
旷世之爱,50.0,剧情/喜剧,1995-01-01,82,简介,Two couples meet at a spa when they realize their respective suites share a bathroom.
上帝是吗？,56.0,剧情/惊悚,2026-05-15,100,Make your daddy dead. Real dead.,"Two sisters embark on an epic quest for revenge, confronting a charged family history that pushes them to extraordinary lengths."
俄罗斯仙女：诱惑,56.0,剧情/爱情,2004-11-28,50,简介,俄罗斯少女与时尚摄影师在拍摄过程中突然翻脸，因为她不甘心只成为镜头上的那个人！
峡谷,76.0,爱情/科幻/惊悚,2025-02-14,127,世界上最危险的秘密就隐藏于他们之间,两名训练有素的特工被派去看守一个神秘峡谷，期间相隔两侧的两人反而越走越近。峡谷中的邪恶力量浮现后，他们必须携手合作，才能与之抗衡，生存下去。
香蕉般的兄弟们,74.0,喜剧/剧情,2026-04-02,162,Biopic of a Billion Bros.,四个被贴上失败者和麻烦制造者标签的朋友，在面对日益增长的社会压力时，踏上了一段自我发现的情感之旅。他们学会承担责任，并以自己的方式找到成功。
索命舞娘,68.0,音乐/惊悚/动作/恐怖,2026-03-25,90,"Blood, sweat and tutus.",五个芭蕾舞者去参加比赛，却遭遇公车坠毁，被困在一家偏远旅馆中，遭遇杀身之祸，必须用自己的舞技逃脱危机。
海盗,70.0,动作/冒险/喜剧/奇幻,2014-08-06,130,Those who conquer the sea will have it all!,《海盗》以朝鲜建国初期为背景，讲述了为了捕获一只吞掉玉玺的鲸鱼而离开陆地的一伙男山贼和一群女海盗在茫茫大海上的离奇遭遇。该片是韩国首部海洋冒险题材影片。
釜山行,78.0,恐怖/惊悚/动作/冒险,2016-08-04,118,Life-or-death survival begins.,证券公司基金管理人石宇（孔刘 饰）光鲜精干，却也是个重利轻义之徒。妻子为此与之决裂，女儿秀安（金秀安 饰）则对如此自私的父亲越来越失望，决定前往釜山和母亲生活。在秀安生日这天，石宇抽出时间陪伴女儿登上开往釜山的特快列车。而与此同时，城市四处出现了极为可疑的暴动事件。政府极力洗白无法掩盖丧尸肆虐的事实，即便懵然无知的列车乘客也因为不速之客的到来而堕入恐慌绝望的地狱中。开车的刹那，一名感染者冲入车厢，而她很快尸变并对目光所及之处的健康人展开血腥屠杀。未过多久，丧尸便呈几何数爆发性地增长。石宇被迫和幸存者的乘客们在逼仄的空间中奋力求生。通往釜山的遥遥旅途布满杀机，危难时刻每个幸存者的人性也承受巨大的考验…
怨林深处,46.0,剧情/恐怖/悬疑,2026-01-15,111,简介,单身母亲西塔带着视障女儿金迪斯，为改善生活从北加浪岸前往三宝垄，踏上穿越“阿拉斯·罗班”死亡公路的夜班车。巴士在荒郊抛锚后，母女俩被迫滞留这片以灵异传说闻名的森林地带。金迪斯开始频繁听到诡异低语，行为也愈发怪异，西塔逐渐意识到，这片土地的古老邪灵已盯上了女儿。她必须在无尽的恐惧中，找到保护女儿的方法，直面这片死亡公路背后的黑暗秘密。
调音师,69.0,犯罪/惊悚,2026-05-29,107,Everybody has one hidden talent.,一位才华横溢的钢琴调音师，发现自己精湛的钢琴调音技艺可以用于破解保险箱，由此他的生活发生了翻天覆地的变化。
刺猬索尼克3,76.0,动作/科幻/喜剧/家庭,2024-12-26,110,New adventure. New rival.,前所未有的劲敌“暗影”（基努·里维斯 Keanu Reeves 配音）高能袭来，轻松击败索尼克（本·施瓦茨 Ben Schwartz 配音）和他的伙伴纳克鲁斯（伊德里斯·艾尔巴 Idris Elba 配音），索尼克只好去找昔日老对手蛋头博士（金·凯瑞 Jim Carrey 饰）共同联手对抗“暗影”，而退休的蛋头博士已日渐发福，他们能否联手抗敌？
凶器,73.0,恐怖/悬疑,2025-08-07,128,昨夜凌晨2点17分，甘迪老师班上的所有孩子突然醒来，下床、下楼、打开家门、走进黑暗之中……从此再也没有回来。,当同班所有孩子除一人外在同一夜晚、同一时刻神秘失踪后，整个社区开始追问究竟是谁或什么导致了他们的消失。
蜘蛛侠：平行宇宙,84.0,动画/动作/冒险/科幻,2018-12-06,116,任何人都可以成为英雄。,《乐高大电影》和《龙虎少年队》的创作灵魂菲尔·罗德与克里斯托弗·米勒，将他们独特的才华注入一个全新的蜘蛛侠宇宙，开创了前所未见的突破性视觉风格。本片讲述了布鲁克林少年迈尔斯·莫拉莱斯（沙梅克·摩尔 配音）的冒险故事，并揭开了蜘蛛宇宙的无限可能——在那里，能够戴上英雄面具的远不止一人。[索尼影业]
重返寂静岭,53.0,悬疑/剧情/恐怖,2026-01-29,103,Guilt is a place you can never leave.,James在与爱人分开后伤心欲绝，而此时，他被一封神秘的信件召唤回了寂静岭去寻找她，却发现自己曾经熟悉的小镇已经被未知的邪恶占据。面对着各种熟悉和陌生的可怕人事物，James开始质疑自己的理智和对现实的认知，但他必须坚持下去，拯救自己失落的爱人。
哈利·波特与阿兹卡班的囚徒,80.0,冒险/奇幻,2004-06-04,141,每件事都将改变,在本片中，哈利、罗恩与赫敏已成长为少年，返回霍格沃茨魔法学校开启第三年的学习。这一年，他们被迫直面越狱逃跑的囚犯小天狼星布莱克——一个对哈利构成巨大威胁的人。哈利和他的朋友们在这一年里学习如何驯服半马半鹰的鹰头马身有翼兽、击退会变形的博格特，并掌握占卜学的技艺。他们还造访了巫师村落霍格莫德村，以及号称全英最阴森的尖叫棚屋。除了这些新奇的体验，哈利还必须战胜吸食灵魂的摄魂怪的威胁，智斗危险的狼人，并最终弄清小天狼星布莱克与他自己以及他父母之间的真相。在与挚友的并肩作战中，哈利掌握了高深的魔法，跨越了时间的界限，从而改变了不止一个人的命运。[华纳兄弟]
浴血黑帮：不朽传奇,73.0,犯罪/剧情,2026-03-20,112,一切终将归于此处。,1940年的伯明翰，在第二次世界大战的混乱中，因疏远已久的儿子卷入一场纳粹阴谋，已离开江湖的黑帮老大托马斯·谢尔比不得不重返伯明翰，拯救家人和国家。
SNOS-056在平凡日常中因酒醉越界的男女放纵周末 赤裸真实又普通 却反而最色情的性爱,0.0,,2026-01-27,120,简介,在平凡日常中因酒醉越界的男女放纵周末 赤裸真实又普通 却反而最色情的性爱
月球漫步,71.0,奇幻/音乐,1988-12-02,93,迈克尔·杰克逊：月球漫步,杰克逊推出了自己创作故事脚本，自己投资拍摄的音乐电影《Moonwalker》。在这部电影中，杰克逊俨然将自己塑造为一个如漫画名角迪克。崔西般的传奇人物。一身短小的西装，一顶压的很低的礼帽，袖子上扎著一个袖标，所有这些都成为了杰克逊个人神话中不可替代的标志性符号。值得一提的是，正是在这部电影中，杰克逊表现出了对于儿童的特有的关爱。就像当年曾红遍中国大街小巷的游戏厅中那个根据《Moonwalker》改编而成的游戏里反映的那样，杰克逊不仅要拯救世界，杰克逊更重要的是拯救儿童。影片票房并不理想，但却在SMOOTH CRIMINAI中表演了反重力倾斜，震惊世人。
性游侠：湿润的高速公路,49.0,惊悚,1971-12-29,68,简介,临近结婚典礼的前一天，内村美奈和以前的恋人尾崎一起开车兜风时，撞上了英雄风的青年亮。美奈不知是不是因为自己犯下的罪意识，在亮的威胁下，在高速行驶的车里燃起了性的燃烧，达到了高潮。
惊声尖笑5,48.0,喜剧,2013-04-12,86,邪恶将至 戴套自保,戴恩·桑德斯 和乔迪 是一对快乐的新婚夫妇，这一天他们意外接到一通电话。此前戴恩的哥哥查理遭遇灵异事件，惨死家中，而他的三个孩子凯西、莉莉 和尚在襁褓中的艾登 则宣告失踪。三个形同野人的孩子被人偶然发现于某个林中小屋之中，经过一番争执和讨论，戴恩最终令妻子同意收养三个小外甥。突然增加的人口，令戴恩不得不更加努力赚钱养家。可是在他们的新家内，接二连三发生了各种诡异事件，举止反常的小姐妹花，来自另一个世界的神秘访客，桑德斯一家开启了爆笑而恐怖的大门……
教室别恋,64.0,剧情/爱情/战争,1995-11-03,125,他是一名学生。 她是他的老师。 他们的爱是被禁止的。,37岁的女教师维奥娜（马莉卡•劳伦丝 Marika Lagercrantz 饰）美艳动人，当丝袜推销员的丈夫却整天出差，就算回到家也只是听音乐、喝闷酒，让她心里非常寂寞难耐。班上15岁的青春少年史迪（约翰•威德伯格 Johan Widerberg 饰）懵懂无知，有着青春期特有的冲动。师生间两眼对视的瞬间，自然而然产生了相互依赖的畸形恋情。  当他们完全沉醉在肉欲之欢里时，史迪对同龄的女生已经毫不感兴趣，拒绝了同班同学的暗恋。维奥娜的丈夫其实早已知道了妻子秘密，但他并没有揭穿妻子的秘密，而是继续饮酒、听音乐。此情此景，让史迪开始对自己的肉欲和这段畸形恋进行反思。
机器人总动员,81.0,动画/家庭/科幻,2008-08-28,98,一个超越“平凡”的冒险,公元 2700 年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托 Buynlarge 的公司对地球垃圾进行清理，该公司开发了名为 WALL·E（地球废品分装员的缩写）的机器人担当此重任。 这些机器人按照程序日复一日、年复一年辛勤工作，但随着时间的流逝和恶劣环境的侵蚀，WALL·E 们接连损坏、停止运动。最后只有一个仍在进行这项似乎永无止境的工作。经历了漫长的岁月，它开始拥有了自己的意识。它喜欢将收集来的宝贝小心翼翼藏起，喜欢收工后看看几百年前的歌舞片，此外还有一只蟑螂朋友作伴。直到有一天，一艘来自宇宙的飞船打破了它一成不变的生活…
大卫,80.0,动画/剧情/家庭/历史,2025-12-25,115,A giant musical event.,在一个被恐惧统治的王国里，一位年轻的牧羊人勇敢地面对巨人以及其背后的黑暗势力。他的勇气将唤醒一个民族，并证明真正的力量来自信任，而非权力。
田螺艳鬼,62.0,恐怖,1982-01-01,81,看色爽片网：4488𝟦6𝟿.com,一位好心的农夫救了一颗田螺，田螺为了答谢农夫而帮助做饭洗衣，后来因为农夫的嫂子，从中作梗，田螺必须离开农夫……
疾速追杀4,77.0,动作/惊悚/犯罪,2023-03-23,170,无路可退,高桌组织的首席执行官格拉蒙特（比尔·斯卡斯加德饰）不断提高对约翰·威克（基努·里维斯饰）的赏金，同时清理其在这个邪恶组织中的痕迹。巨额赏金的诱惑下，吸引来了潜在的赏金猎人对威克的追杀。被逐出高桌会的威克在与高桌会的对抗过程中找到了击败高桌会的方法，在朋友的帮助下，开始了自己的反击……
神偷奶爸4,70.0,动作/动画/喜剧/家庭/科幻,2024-07-04,97,Things just got a little more despicable.,格鲁（史蒂夫·卡瑞尔 Steve Carell 配音）和露西（克里斯汀·韦格 Kristen Wiig 配音）一家即将展开家庭生活的新篇章，迎接新成员“迷你格鲁”，而这个小宝宝也会用尽方法折磨格鲁这个新手老爸。新反派恶霸麦斯（威尔·法瑞尔 Will Ferrell 配音）和他既致命危险又美丽性感的女友华伦天娜（索菲娅·维加拉 Sofía Vergara 配音）来势汹汹，格鲁一家面临未知危险。此时，全新超级小黄人重磅亮相，成为帮助格鲁一家度过这次危机的“秘密武器”。一场惊险刺激、笑料百出的全新冒险即将展开。
